,Date,OPEN,HIGH,LOW,CLOSE,ADJ Close,Volume
0,2019-10-16,1241.17,1254.74,1238.45,1243.64,1243.6400146484375,1094600
1,2019-10-17,1250.93,1263.32,1249.94,1253.07,1253.0699462890625,952400
2,2019-10-18,1253.46,1258.89,1241.08,1245.49,1245.489990234375,1352800
3,2019-10-21,1252.26,1254.63,1240.6,1246.15,1246.1500244140625,1027200
4,2019-10-22,1247.85,1250.6,1241.38,1242.8,1242.800048828125,1023800
5,2019-10-23,1242.36,1259.89,1242.36,1259.13,1259.1300048828125,911500
6,2019-10-24,1260.9,1264.0,1253.71,1260.99,1260.989990234375,1028100
7,2019-10-25,1251.03,1269.6,1250.01,1265.13,1265.1300048828125,1213100
8,2019-10-28,1275.45,1299.31,1272.54,1290.0,1290.0,2613200
9,2019-10-29,1276.23,1281.59,1257.21,1262.62,1262.6199951171875,1886400
10,2019-10-30,1252.97,1269.36,1252.0,1261.29,1261.2900390625,1408900
11,2019-10-31,1261.28,1267.67,1250.84,1260.11,1260.1099853515625,1455700
12,2019-11-01,1265.0,1274.62,1260.5,1273.74,1273.739990234375,1670100
13,2019-11-04,1276.45,1294.13,1276.35,1291.37,1291.3699951171875,1501000
14,2019-11-05,1292.89,1298.93,1291.23,1292.03,1292.030029296875,1282700
15,2019-11-06,1289.46,1293.73,1282.5,1291.8,1291.800048828125,1152700
16,2019-11-07,1294.28,1323.74,1294.24,1308.86,1308.8599853515625,2030000
17,2019-11-08,1305.28,1318.0,1304.36,1311.37,1311.3699951171875,1251400
18,2019-11-11,1303.18,1306.43,1297.41,1299.19,1299.18994140625,1011900
19,2019-11-12,1300.0,1310.0,1295.77,1298.8,1298.800048828125,1085900
20,2019-11-13,1294.07,1304.3,1293.51,1298.0,1298.0,826700
21,2019-11-14,1297.5,1317.0,1295.65,1311.46,1311.4599609375,1193500
22,2019-11-15,1318.94,1334.88,1314.28,1334.87,1334.8699951171875,1782600
23,2019-11-18,1332.22,1335.53,1317.5,1320.7,1320.699951171875,1487400
24,2019-11-19,1327.7,1327.7,1312.8,1315.46,1315.4599609375,1269200
25,2019-11-20,1311.74,1315.0,1291.15,1303.05,1303.050048828125,1308600
26,2019-11-21,1301.48,1312.59,1293.0,1301.35,1301.3499755859375,995500
27,2019-11-22,1305.62,1308.73,1291.41,1295.34,1295.3399658203125,1385700
28,2019-11-25,1299.18,1311.31,1298.13,1306.69,1306.68994140625,1036200
29,2019-11-26,1309.86,1314.8,1305.09,1313.55,1313.550048828125,1069700
30,2019-11-27,1315.0,1318.36,1309.63,1312.99,1312.989990234375,995600
31,2019-11-29,1307.12,1310.2,1303.97,1304.96,1304.9599609375,587000
32,2019-12-02,1301.0,1305.83,1281.0,1289.92,1289.9200439453125,1510900
33,2019-12-03,1279.57,1298.46,1279.0,1295.28,1295.280029296875,1143800
34,2019-12-04,1307.01,1325.8,1304.87,1320.54,1320.5400390625,1537500
35,2019-12-05,1328.0,1329.36,1316.44,1328.13,1328.1300048828125,1212700
36,2019-12-06,1333.44,1344.0,1333.44,1340.62,1340.6199951171875,1314800
37,2019-12-09,1338.04,1359.45,1337.84,1343.56,1343.56005859375,1354300
38,2019-12-10,1341.5,1349.97,1336.04,1344.66,1344.6600341796875,1094100
39,2019-12-11,1350.84,1351.2,1342.67,1345.02,1345.02001953125,850400
40,2019-12-12,1345.94,1355.78,1340.5,1350.27,1350.27001953125,1281000
41,2019-12-13,1347.95,1353.09,1343.87,1347.83,1347.8299560546875,1549600
42,2019-12-16,1356.5,1364.68,1352.67,1361.17,1361.1700439453125,1397300
43,2019-12-17,1362.89,1365.0,1351.32,1355.12,1355.1199951171875,1854000
44,2019-12-18,1356.6,1360.47,1351.0,1352.62,1352.6199951171875,1522600
45,2019-12-19,1351.82,1358.1,1348.98,1356.04,1356.0400390625,1469900
46,2019-12-20,1363.35,1363.64,1349.0,1349.59,1349.5899658203125,3315000
47,2019-12-23,1355.87,1359.8,1346.51,1348.84,1348.8399658203125,883100
48,2019-12-24,1348.5,1350.26,1342.78,1343.56,1343.56005859375,347500
49,2019-12-26,1346.17,1361.33,1344.47,1360.4,1360.4000244140625,667500
50,2019-12-27,1362.99,1364.53,1349.31,1351.89,1351.8900146484375,1038400
51,2019-12-30,1350.0,1353.0,1334.02,1336.14,1336.1400146484375,1050900
52,2019-12-31,1330.11,1338.0,1329.08,1337.02,1337.02001953125,961800
53,2020-01-02,1341.55,1368.14,1341.55,1367.37,1367.3699951171875,1406600
54,2020-01-03,1347.86,1372.5,1345.54,1360.66,1360.6600341796875,1186400
55,2020-01-06,1350.0,1396.5,1350.0,1394.21,1394.2099609375,1732300
56,2020-01-07,1397.94,1402.99,1390.38,1393.34,1393.3399658203125,1502700
57,2020-01-08,1392.08,1411.58,1390.84,1404.32,1404.3199462890625,1528000
58,2020-01-09,1420.57,1427.33,1410.27,1419.83,1419.8299560546875,1500900
59,2020-01-10,1427.56,1434.93,1418.35,1429.73,1429.72998046875,1820700
60,2020-01-13,1436.13,1440.52,1426.02,1439.23,1439.22998046875,1652300
61,2020-01-14,1439.01,1441.8,1428.37,1430.88,1430.8800048828125,1558900
62,2020-01-15,1430.21,1441.4,1430.21,1439.2,1439.199951171875,1282700
63,2020-01-16,1447.44,1451.99,1440.92,1451.7,1451.699951171875,1173700
64,2020-01-17,1462.91,1481.3,1458.22,1480.39,1480.3900146484375,2396200
65,2020-01-21,1479.12,1491.85,1471.2,1484.4,1484.4000244140625,2036700
66,2020-01-22,1491.0,1503.21,1484.93,1485.95,1485.949951171875,1610800
67,2020-01-23,1487.64,1495.52,1482.1,1486.65,1486.6500244140625,1351200
68,2020-01-24,1493.59,1495.49,1465.25,1466.71,1466.7099609375,1784600
69,2020-01-27,1431.0,1438.07,1421.2,1433.9,1433.9000244140625,1755200
70,2020-01-28,1443.0,1456.0,1432.47,1452.56,1452.56005859375,1577400
71,2020-01-29,1458.8,1465.43,1446.74,1458.63,1458.6300048828125,1077700
72,2020-01-30,1439.96,1457.28,1436.4,1455.84,1455.8399658203125,1339400
73,2020-01-31,1468.9,1470.13,1428.53,1434.23,1434.22998046875,2417200
74,2020-02-03,1462.0,1490.0,1458.99,1485.94,1485.93994140625,3055200
75,2020-02-04,1457.07,1469.5,1426.3,1447.07,1447.0699462890625,3933000
76,2020-02-05,1462.42,1463.84,1430.56,1448.23,1448.22998046875,1986200
77,2020-02-06,1450.33,1482.0,1449.57,1476.23,1476.22998046875,1679400
78,2020-02-07,1467.3,1485.84,1466.35,1479.23,1479.22998046875,1172300
79,2020-02-10,1474.32,1509.5,1474.32,1508.68,1508.6800537109375,1419900
80,2020-02-11,1511.81,1529.63,1505.64,1508.79,1508.7900390625,1344600
81,2020-02-12,1514.48,1520.69,1508.11,1518.27,1518.27001953125,1167600
82,2020-02-13,1512.69,1527.18,1504.6,1514.66,1514.6600341796875,929500
83,2020-02-14,1515.6,1520.74,1507.34,1520.74,1520.739990234375,1197800
84,2020-02-18,1515.0,1531.63,1512.59,1519.67,1519.6700439453125,1120700
85,2020-02-19,1525.07,1532.11,1521.4,1526.69,1526.68994140625,949300
86,2020-02-20,1522.0,1529.64,1506.82,1518.15,1518.1500244140625,1096600
87,2020-02-21,1508.03,1512.21,1480.44,1485.11,1485.1099853515625,1731700
88,2020-02-24,1426.11,1436.97,1411.39,1421.59,1421.5899658203125,2867100
89,2020-02-25,1433.0,1438.14,1382.4,1388.45,1388.449951171875,2478300
90,2020-02-26,1396.14,1415.7,1379.0,1393.18,1393.1800537109375,2202400
91,2020-02-27,1362.06,1371.7,1317.17,1318.09,1318.0899658203125,2978300
92,2020-02-28,1277.5,1341.14,1271.0,1339.33,1339.3299560546875,3790600
93,2020-03-02,1351.61,1390.87,1326.81,1389.11,1389.1099853515625,2431500
94,2020-03-03,1399.42,1410.15,1332.0,1341.39,1341.3900146484375,2402300
95,2020-03-04,1359.23,1388.09,1343.11,1386.52,1386.52001953125,1913300
96,2020-03-05,1350.2,1358.91,1305.1,1319.04,1319.0400390625,2561300
97,2020-03-06,1277.06,1306.22,1261.05,1298.41,1298.4100341796875,2660600
98,2020-03-09,1205.3,1254.76,1200.0,1215.56,1215.56005859375,3365400
99,2020-03-10,1260.0,1281.15,1218.77,1280.39,1280.3900146484375,2611400
100,2020-03-11,1249.7,1260.96,1196.07,1215.41,1215.4100341796875,2608500
101,2020-03-12,1126.0,1193.87,1113.3,1114.91,1114.9100341796875,4226700
102,2020-03-13,1179.0,1219.76,1117.14,1219.73,1219.72998046875,3700100
103,2020-03-16,1096.0,1152.27,1074.44,1084.33,1084.3299560546875,4252400
104,2020-03-17,1093.11,1130.86,1056.01,1119.8,1119.800048828125,3861500
105,2020-03-18,1056.51,1106.5,1037.28,1096.8,1096.800048828125,4233400
106,2020-03-19,1093.05,1157.97,1060.11,1115.29,1115.2900390625,3651100
107,2020-03-20,1135.72,1143.99,1065.49,1072.32,1072.3199462890625,3601800
108,2020-03-23,1061.32,1071.32,1013.54,1056.62,1056.6199951171875,4044100
109,2020-03-24,1103.77,1135.0,1090.62,1134.46,1134.4599609375,3344500
110,2020-03-25,1126.47,1148.9,1086.01,1102.49,1102.489990234375,4081500
111,2020-03-26,1111.8,1169.97,1093.53,1161.75,1161.75,3571700
112,2020-03-27,1125.67,1150.67,1105.91,1110.71,1110.7099609375,3208500
113,2020-03-30,1125.04,1151.63,1096.48,1146.82,1146.8199462890625,2574100
114,2020-03-31,1147.3,1175.31,1138.14,1162.81,1162.81005859375,2486400
115,2020-04-01,1122.0,1129.69,1097.45,1105.62,1105.6199951171875,2344200
116,2020-04-02,1098.26,1126.86,1096.4,1120.84,1120.8399658203125,1964900
117,2020-04-03,1119.02,1123.54,1079.81,1097.88,1097.8800048828125,2313400
118,2020-04-06,1138.0,1194.66,1130.94,1186.92,1186.9200439453125,2664700
119,2020-04-07,1221.0,1225.0,1182.23,1186.51,1186.510009765625,2387300
120,2020-04-08,1206.5,1219.07,1188.16,1210.28,1210.280029296875,1975100
121,2020-04-09,1224.08,1225.57,1196.73,1211.45,1211.449951171875,2175400
122,2020-04-13,1209.18,1220.51,1187.6,1217.56,1217.56005859375,1739800
123,2020-04-14,1245.09,1282.07,1236.93,1269.23,1269.22998046875,2470400
124,2020-04-15,1245.61,1280.46,1240.4,1262.47,1262.469970703125,1671700
125,2020-04-16,1274.1,1279.0,1242.62,1263.47,1263.469970703125,2507100
126,2020-04-17,1284.85,1294.43,1271.23,1283.25,1283.25,1949000
127,2020-04-20,1271.0,1281.6,1261.37,1266.61,1266.6099853515625,1695500
128,2020-04-21,1247.0,1254.27,1209.71,1216.34,1216.3399658203125,2153000
129,2020-04-22,1245.54,1285.61,1242.0,1263.21,1263.2099609375,2093100
130,2020-04-23,1271.55,1293.31,1265.67,1276.31,1276.31005859375,1566200
131,2020-04-24,1261.17,1280.4,1249.45,1279.31,1279.31005859375,1640400
132,2020-04-27,1296.0,1296.15,1269.0,1275.88,1275.8800048828125,1600600
133,2020-04-28,1287.93,1288.05,1232.2,1233.67,1233.6700439453125,2951300
134,2020-04-29,1341.46,1359.99,1325.34,1341.48,1341.47998046875,3793600
135,2020-04-30,1324.88,1352.82,1322.49,1348.66,1348.6600341796875,2665400
136,2020-05-01,1328.5,1352.07,1311.0,1320.61,1320.6099853515625,2072500
137,2020-05-04,1308.23,1327.66,1299.0,1326.8,1326.800048828125,1504000
138,2020-05-05,1337.92,1373.94,1337.46,1351.11,1351.1099853515625,1651500
139,2020-05-06,1361.69,1371.12,1347.29,1347.3,1347.300048828125,1215400
140,2020-05-07,1365.94,1377.6,1355.27,1372.56,1372.56005859375,1397600
141,2020-05-08,1383.13,1398.76,1375.48,1388.37,1388.3699951171875,1388100
142,2020-05-11,1378.28,1416.53,1377.15,1403.26,1403.260009765625,1410600
143,2020-05-12,1407.12,1415.0,1374.77,1375.74,1375.739990234375,1390600
144,2020-05-13,1377.05,1385.48,1328.4,1349.33,1349.3299560546875,1812600
145,2020-05-14,1335.02,1357.42,1323.91,1356.13,1356.1300048828125,1603100
146,2020-05-15,1350.0,1374.48,1339.0,1373.19,1373.18994140625,1707700
147,2020-05-18,1361.75,1392.32,1354.25,1383.94,1383.93994140625,1824000
148,2020-05-19,1387.0,1392.0,1373.48,1373.48,1373.4849853515625,1280600
149,2020-05-20,1389.58,1410.42,1387.25,1406.72,1406.719970703125,1655400
150,2020-05-21,1408.0,1415.49,1393.45,1402.8,1402.800048828125,1385000
151,2020-05-22,1396.71,1412.76,1391.83,1410.42,1410.4200439453125,1309400
152,2020-05-26,1437.27,1441.0,1412.13,1417.02,1417.02001953125,2060600
153,2020-05-27,1417.25,1421.74,1391.29,1417.84,1417.8399658203125,1685800
154,2020-05-28,1396.86,1440.84,1396.0,1416.73,1416.72998046875,1692200
155,2020-05-29,1416.94,1432.57,1413.35,1428.92,1428.9200439453125,1838100
156,2020-06-01,1418.39,1437.96,1418.0,1431.82,1431.8199462890625,1217100
157,2020-06-02,1430.55,1439.61,1418.83,1439.22,1439.219970703125,1278100
158,2020-06-03,1438.3,1446.55,1429.78,1436.38,1436.3800048828125,1256200
159,2020-06-04,1430.4,1438.96,1404.73,1412.18,1412.1800537109375,1484300
160,2020-06-05,1413.17,1445.05,1406.0,1438.39,1438.3900146484375,1734900
161,2020-06-08,1422.34,1447.99,1422.34,1446.61,1446.6099853515625,1404200
162,2020-06-09,1445.36,1468.0,1443.21,1456.16,1456.1600341796875,1409200
163,2020-06-10,1459.54,1474.26,1456.27,1465.85,1465.8499755859375,1525200
164,2020-06-11,1442.48,1454.47,1402.0,1403.84,1403.8399658203125,1991300
165,2020-06-12,1428.49,1437.0,1386.02,1413.18,1413.1800537109375,1944200
166,2020-06-15,1390.8,1424.8,1387.92,1419.85,1419.8499755859375,1503900
167,2020-06-16,1445.22,1455.02,1425.9,1442.72,1442.719970703125,1709200
168,2020-06-17,1447.16,1460.0,1431.38,1451.12,1451.1199951171875,1548300
169,2020-06-18,1449.16,1451.41,1427.01,1435.96,1435.9599609375,1581900
170,2020-06-19,1444.0,1447.8,1421.35,1431.72,1431.719970703125,3157900
171,2020-06-22,1429.0,1452.75,1423.21,1451.86,1451.8599853515625,1542400
172,2020-06-23,1455.64,1475.94,1445.24,1464.41,1464.4100341796875,1429800
173,2020-06-24,1461.51,1475.42,1429.75,1431.97,1431.969970703125,1756000
174,2020-06-25,1429.9,1442.9,1420.0,1441.33,1441.3299560546875,1230500
175,2020-06-26,1431.39,1433.45,1351.99,1359.9,1359.9000244140625,4267700
176,2020-06-29,1358.18,1395.6,1347.01,1394.97,1394.969970703125,1810200
177,2020-06-30,1390.44,1418.65,1383.96,1413.61,1413.6099853515625,2042400
178,2020-07-01,1411.1,1443.0,1409.82,1438.04,1438.0400390625,1775200
179,2020-07-02,1446.94,1482.95,1446.42,1464.7,1464.699951171875,1859100
180,2020-07-06,1480.06,1506.59,1472.86,1495.7,1495.699951171875,1564000
181,2020-07-07,1490.0,1516.8,1483.55,1485.18,1485.1800537109375,1458200
182,2020-07-08,1494.32,1505.88,1485.63,1496.0,1496.0,1249700
183,2020-07-09,1506.45,1522.72,1488.08,1510.99,1510.989990234375,1423300
184,2020-07-10,1506.15,1543.83,1496.54,1541.74,1541.739990234375,1856300
185,2020-07-13,1550.0,1577.13,1505.24,1511.34,1511.3399658203125,1846400
186,2020-07-14,1490.31,1522.95,1483.5,1520.58,1520.5799560546875,1585000
187,2020-07-15,1523.13,1535.33,1498.0,1513.64,1513.6400146484375,1610700
188,2020-07-16,1500.0,1518.69,1486.31,1518.0,1518.0,1519300
189,2020-07-17,1521.62,1523.44,1498.42,1515.55,1515.550048828125,1456700
190,2020-07-20,1515.26,1570.29,1503.6,1565.72,1565.719970703125,1557300
191,2020-07-21,1586.99,1586.99,1554.28,1558.42,1558.4200439453125,1218600
192,2020-07-22,1560.5,1570.0,1546.1,1568.49,1568.489990234375,932000
193,2020-07-23,1566.97,1571.87,1507.39,1515.68,1515.6800537109375,1627600
194,2020-07-24,1498.93,1517.64,1488.4,1511.87,1511.8699951171875,1544000
195,2020-07-27,1515.6,1540.97,1515.21,1530.2,1530.199951171875,1246000
196,2020-07-28,1525.18,1526.48,1497.66,1500.34,1500.3399658203125,1702200
197,2020-07-29,1506.32,1531.25,1501.33,1522.02,1522.02001953125,1106500
198,2020-07-30,1497.0,1537.87,1492.22,1531.45,1531.449951171875,1671400
199,2020-07-31,1505.01,1508.95,1454.03,1482.96,1482.9599609375,3439900
200,2020-08-03,1486.64,1490.47,1465.64,1474.45,1474.449951171875,2330200
201,2020-08-04,1476.57,1485.56,1458.65,1464.97,1464.969970703125,1903500
202,2020-08-05,1469.3,1482.41,1463.46,1473.61,1473.6099853515625,1979500
203,2020-08-06,1471.75,1502.39,1466.0,1500.1,1500.0999755859375,1995400
204,2020-08-07,1500.0,1516.84,1481.64,1494.49,1494.489990234375,1576600
205,2020-08-10,1487.18,1504.07,1473.08,1496.1,1496.0999755859375,1289300
206,2020-08-11,1492.44,1510.0,1478.0,1480.32,1480.3199462890625,1454400
207,2020-08-12,1485.58,1512.39,1485.25,1506.62,1506.6199951171875,1437700
208,2020-08-13,1510.34,1537.25,1508.01,1518.45,1518.449951171875,1455200
209,2020-08-14,1515.66,1521.9,1502.88,1507.73,1507.72998046875,1354800
210,2020-08-17,1514.67,1525.61,1507.97,1517.98,1517.97998046875,1378300
211,2020-08-18,1526.18,1562.47,1523.71,1558.6,1558.5999755859375,2027100
212,2020-08-19,1553.31,1573.68,1543.95,1547.53,1547.530029296875,1660600
213,2020-08-20,1543.45,1585.87,1538.2,1581.75,1581.75,1706900
214,2020-08-21,1577.03,1597.72,1568.01,1580.42,1580.4200439453125,1446500
215,2020-08-24,1593.98,1614.17,1580.57,1588.2,1588.199951171875,1409900
216,2020-08-25,1582.07,1611.62,1582.07,1608.22,1608.219970703125,2247100
217,2020-08-26,1608.0,1659.22,1603.6,1652.38,1652.3800048828125,3993400
218,2020-08-27,1653.68,1655.0,1625.75,1634.33,1634.3299560546875,1861600
219,2020-08-28,1633.49,1647.17,1630.75,1644.41,1644.4100341796875,1499800
220,2020-08-31,1647.89,1647.96,1630.31,1634.18,1634.1800537109375,1823400
221,2020-09-01,1636.63,1665.73,1632.22,1660.71,1660.7099609375,1826700
222,2020-09-02,1673.78,1733.18,1666.33,1728.28,1728.280029296875,2511200
223,2020-09-03,1709.71,1709.71,1615.06,1641.84,1641.8399658203125,3107800
224,2020-09-04,1624.26,1645.11,1547.61,1591.04,1591.0400390625,2608600
225,2020-09-08,1533.51,1563.86,1528.01,1532.39,1532.3900146484375,2610900
226,2020-09-09,1557.53,1569.0,1536.05,1556.96,1556.9599609375,1774700
227,2020-09-10,1560.64,1584.08,1525.81,1532.02,1532.02001953125,1618600
228,2020-09-11,1536.0,1575.2,1497.36,1520.72,1520.719970703125,1597100
229,2020-09-14,1539.01,1564.0,1515.74,1519.28,1519.280029296875,1696600
230,2020-09-15,1536.0,1559.57,1531.83,1541.44,1541.43994140625,1331100
231,2020-09-16,1555.54,1562.0,1519.82,1520.9,1520.9000244140625,1311700
232,2020-09-17,1496.0,1508.3,1470.0,1495.53,1495.530029296875,1879800
233,2020-09-18,1498.01,1503.0,1437.13,1459.99,1459.989990234375,3103900
234,2020-09-21,1440.06,1448.36,1406.55,1431.16,1431.1600341796875,2888800
235,2020-09-22,1450.09,1469.52,1434.53,1465.46,1465.4599609375,1583200
236,2020-09-23,1458.78,1460.96,1407.7,1415.21,1415.2099609375,1657400
237,2020-09-24,1411.03,1443.71,1409.85,1428.29,1428.2900390625,1450200
238,2020-09-25,1432.63,1450.0,1413.34,1444.96,1444.9599609375,1323000
239,2020-09-28,1474.21,1476.8,1449.3,1464.52,1464.52001953125,2007900
240,2020-09-29,1470.39,1476.66,1458.81,1469.33,1469.3299560546875,978200
241,2020-09-30,1466.8,1489.75,1459.88,1469.6,1469.5999755859375,1700600
242,2020-10-01,1484.27,1499.04,1479.21,1490.09,1490.0899658203125,1779500
243,2020-10-02,1462.03,1483.2,1450.92,1458.42,1458.4200439453125,1284100
244,2020-10-05,1466.21,1488.21,1464.27,1486.02,1486.02001953125,1113300
245,2020-10-06,1475.58,1486.76,1448.59,1453.44,1453.43994140625,1245400
246,2020-10-07,1464.29,1468.96,1436.0,1460.29,1460.2900390625,1746200
247,2020-10-08,1465.09,1490.0,1465.09,1485.93,1485.9300537109375,1187800
248,2020-10-09,1494.7,1516.52,1489.45,1515.22,1515.219970703125,1435300
249,2020-10-12,1543.0,1593.86,1532.57,1569.15,1569.1500244140625,2482600
250,2020-10-13,1583.73,1590.0,1563.2,1571.68,1571.6800537109375,1601000
251,2020-10-14,1578.59,1587.68,1550.53,1568.08,1568.0799560546875,1931000
252,2020-10-15,1547.15,1575.1,1545.03,1559.13,1559.1300048828125,1540000
